ITEMS with name,return_loc,desc:
[260]string LocKey = "collection_items_goldensnitch_description"
string LocValue = "The smallest ball in Quidditch, the autonomously flying Golden Snitch is worth 150 points and immediately ends the match when caught. Each team has a single Seeker and they are the only players allowed to capture the Golden Snitch."
[261]string LocKey = "collection_items_hippogriff_brown_name"
string LocValue = "Hippogriff"
[262]string LocKey = "collection_items_hippogriff_brown_return_location"
string LocValue = "Hogwarts Grounds"
[263]string LocKey = "collection_items_hippogriff_brown_description"
string LocValue = "A Hippogriff is a flying magical creature with the head, talons, and wings of an eagle, and body, tail, and rear end of a horse. Hippogriffs are native to Europe and can make noble companions if shown the right level of respect."
[264]string LocKey = "collection_items_ministryworker_male_name"
string LocValue = "Ministry Official"
[265]string LocKey = "collection_items_ministryworker_male_return_location"
string LocValue = "Ministry Official's Cubicle"
[266]string LocKey = "collection_items_ministryworker_male_description"
string LocValue = "The Ministry of Magic serves as the primary governing body within the United Kingdom. Ministers work for the Ministry doing all sorts of crucial jobs, from law enforcement to research and education to traditional governance."
[267]string LocKey = "collection_items_mountaintroll_name"
string LocValue = "Mountain Troll"
[268]string LocKey = "collection_items_mountaintroll_return_location"
string LocValue = "Liechtenstein"
[269]string LocKey = "collection_items_mountaintroll_description"
string LocValue = "Mountain Trolls are the largest breed of troll (some weighing as much as a tonne) and, while they are the most aggressive, they remain relatively unintelligent. They can be easily out-smarted and defeated by most capable wizards."
[270]string LocKey = "collection_items_mummy_name"
string LocValue = "Mummy"
[271]string LocKey = "collection_items_mummy_return_location"
string LocValue = "The Valley of the Kings"
[272]string LocKey = "collection_items_mummy_description"
string LocValue = "Mummies are preserved undead corpses reanimated by Dark magic, similar to Inferi. While many cultures worldwide preserve their dead in this fashion, mummies are most commonly found in Egypt."
[273]string LocKey = "collection_items_musicbox_name"
string LocValue = "Music Box"
[274]string LocKey = "collection_items_musicbox_return_location"
string LocValue = "Romilda Vane"
[275]string LocKey = "collection_items_musicbox_description"
string LocValue = "A delightful music box, featuring a dancing troll. Some music boxes have been known to be enchanted, causing whoever listens to its sinister, tinkling tune to fall asleep."
[276]string LocKey = "collection_items_niffler_name"
string LocValue = "Niffler"
[277]string LocKey = "collection_items_niffler_return_location"
string LocValue = "Edith Abernathy"
[278]string LocKey = "collection_items_niffler_description"
string LocValue = "Nifflers are adorable creatures with a love for shiny objects, but can be quite mischievous if left unattended. Their ability to find valuable metals is often used by wizards as a means of tracking down treasure."
[279]string LocKey = "collection_items_nimbus2000_name"
string LocValue = "Nimbus 2000"
[280]string LocKey = "collection_items_nimbus2000_return_location"
string LocValue = "Hogwarts Quidditch Pitch"
[281]string LocKey = "collection_items_nimbus2000_description"
string LocValue = "Produced by the Nimbus Racing Broom Company, the Nimbus 2000 was the fastest competitive broomstick on the market when released. That lasted only a short time, as the broom's speed was surpassed by the Nimbus 2001 the following year."
[282]string LocKey = "collection_items_wizardportrait_dumbledore_name"
string LocValue = "Portrait of Albus Dumbledore"
[283]string LocKey = "collection_items_wizardportrait_dumbledore_return_location"
string LocValue = "Hogwarts Headmaster's Office"
[284]string LocKey = "collection_items_wizardportrait_dumbledore_description"
string LocValue = "One of the greatest wizards of all time, former Headmaster of Hogwarts Albus Dumbledore was known for - among many things - his alchemical work with Nicolas Flamel, the defeat of Gellert Grindelwald, and the 12 uses of dragon's blood."
[285]string LocKey = "collection_items_siriusblack_hp5_name"
string LocValue = "Sirius Black"
[286]string LocKey = "collection_items_siriusblack_hp5_return_location"
string LocValue = "Number 12, Grimmauld Place, 1995"
[287]string LocKey = "collection_items_siriusblack_hp5_description"
string LocValue = "Sirius Black was best friends with James Potter, and godfather to his son, Harry. He was wrongly convicted for the murder of twelve Muggles and Peter Pettigrew and spent twelve years in Azkaban before he escaped."
[288]string LocKey = "collection_items_sortinghat_name"
string LocValue = "Sorting Hat"
[289]string LocKey = "collection_items_sortinghat_return_location"
string LocValue = "Hogwarts Headmaster's Office"
[290]string LocKey = "collection_items_sortinghat_description"
string LocValue = "Originally owned by Godric Gryffindor, the Sorting Hat was enchanted by the four founders of Hogwarts to evaluate and properly sort first-year students into one of the four school houses: Gryffindor, Hufflepuff, Ravenclaw, or Slytherin."
[291]string LocKey = "collection_items_vampire_name"
string LocValue = "Vampire"
[292]string LocKey = "collection_items_vampire_return_location"
string LocValue = "Transylvania, Romania"
[293]string LocKey = "collection_items_vampire_description"
string LocValue = "Vampires are humanoid creatures that feed on the blood of humans. Vampires cannot roam out in the daylight and have an aversion to garlic."
[294]string LocKey = "collection_items_acromantula_young_name"
string LocValue = "Young Acromantula"
[295]string LocKey = "collection_items_acromantula_young_return_location"
string LocValue = "Forbidden Forest"
[296]string LocKey = "collection_items_acromantula_young_description"
string LocValue = "The Acromantula is a monstrous eight-eyed spider capable of human speech. Unlike most non-magical spiders, Acromatulas are social animals, living in large colonies. They are carnivorous and prefer live prey."
[297]string LocKey = "collection_items_erkling_name"
string LocValue = "Erkling"
[298]string LocKey = "collection_items_erkling_return_location"
string LocValue = "The Black Forest"
[299]string LocKey = "collection_items_erkling_description"
string LocValue = "Erklings are elfish creatures who use their alluring cackle to attract their prey. Human children are susceptible to this sound and are often the unfortunate targets of Erking attacks."
[300]string LocKey = "collection_items_minervamcgonagall_name"
string LocValue = "Minerva McGonagall"
[301]string LocKey = "collection_items_minervamcgonagall_return_location"
string LocValue = "Hogwarts Transfiguration Classroom"
[302]string LocKey = "collection_items_minervamcgonagall_description"
string LocValue = "Minerva McGonagall is a professor of Transfiguration and head of Gryffindor house at Hogwarts School of Witchcraf and Wizardry."
[303]string LocKey = "collection_items_moaningmyrtle_hp2_name"
string LocValue = "Moaning Myrtle"
[304]string LocKey = "collection_items_moaningmyrtle_hp2_return_location"
string LocValue = "Hogwarts Girls' Bathroom"
[305]string LocKey = "collection_items_moaningmyrtle_hp2_description"
string LocValue = "A former student of Hogwarts, Myrtle Warren was killed under mysterious circumstances in a Hogwarts girls' bathroom. She now haunts the same lavatory, often heard moaning and sobbing all the way down the hall."
[306]string LocKey = "collection_items_peeves_name"
string LocValue = "Peeves"
[307]string LocKey = "collection_items_peeves_return_location"
string LocValue = "Hogwarts Great Hall"
[308]string LocKey = "collection_items_peeves_description"
string LocValue = "The resident poltergeist at Hogwarts - Peeves has haunted the castle since its very inception. Relentlessly mischievous, he shows little respect for students, but has shown affinity for student troublemakers like Fred and George Weasley."
[309]string LocKey = "collection_items_boggartcabinet_name"
string LocValue = "Boggart Cabinet"
[310]string LocKey = "collection_items_boggartcabinet_return_location"
string LocValue = "Hogwarts Defence Against the Dark Arts Classroom, 1993"
[311]string LocKey = "collection_items_boggartcabinet_description"
string LocValue = "A Boggart is an amorphous shape-shifting creature that changes into whatever the viewer's worst fear is. Wizards are encouraged to approach a Boggart in a group, as the Boggart will be unable to focus on a single victim."
[312]string LocKey = "collection_items_wizardportrait_name"
string LocValue = "Portrait of Dumbledore"
[313]string LocKey = "collection_items_wizardportrait_return_location"
string LocValue = "Hogwarts Headmaster's Office"
[314]string LocKey = "collection_items_wizardportrait_description"
string LocValue = "A portrait of Albus Dumbledore, a revered headmaster of Hogwarts School of Witchcraft and Wizardry."
[315]string LocKey = "collection_items_filiusflitwick_name"
string LocValue = "Professor Flitwick"
[316]string LocKey = "collection_items_filiusflitwick_return_location"
string LocValue = "Hogwarts Charms Classroom"
[317]string LocKey = "collection_items_filiusflitwick_description"
string LocValue = "Filius Flitwick is the Professor of Charms and Head of Ravenclaw House at Hogwarts School of Witchcraft and Wizardry. Before embarking on his teaching career, Flitwick was a duelling champion."
[318]string LocKey = "collection_items_pomonasprout_name"
string LocValue = "Pomona Sprout"
[319]string LocKey = "collection_items_pomonasprout_return_location"
string LocValue = "Hogwarts Greenhouse Three"
[320]string LocKey = "collection_items_pomonasprout_description"
string LocValue = "Pomona Sprout teaches Herbology at Hogwarts School of Witchcraft and Wizardry, and is Head of Hufflepuff House. Known for her cheerful demeanor, Professor Sprout helped brew the Mandrake Restorative Draught that healed students Petrified during attacks by Slytherin's Basilisk."
[321]string LocKey = "collection_items_student_gryffindor_female_name"
string LocValue = "Gryffindor Student"
[322]string LocKey = "collection_items_student_gryffindor_female_return_location"
string LocValue = "Gryffindor Common Room"
[323]string LocKey = "collection_items_student_gryffindor_female_description"
string LocValue = "Brave, chivalrous, and with nerves of steel, students from Gryffindor House share in the legacy of Harry Potter, Albus Dumbledore, and Remus Lupin. Griffindor has a fierce rivalry with Slytherin House."
[324]string LocKey = "collection_items_tomriddle_hp6_name"
string LocValue = "Tom Riddle"
[325]string LocKey = "collection_items_tomriddle_hp6_return_location"
string LocValue = "Professor Slughorn's Office, 1944"
[326]string LocKey = "collection_items_tomriddle_hp6_description"
string LocValue = "Tom Riddle's mother died shortly after giving birth to him at Wool's Orphanage. Albus Dumbledore recognized his magical potential and offered Tom a place at Hogwarts. The talented, disturbed youngster would grow up to become the notorious Lord Voldemort."
[327]string LocKey = "collection_items_percivalgraves_fb1_name"
string LocValue = "Percival Graves"
[328]string LocKey = "collection_items_percivalgraves_fb1_return_location"
string LocValue = "MACUSA Auror Headquarters, 1926"
[329]string LocKey = "collection_items_percivalgraves_fb1_description"
string LocValue = "A skilled Auror, Percival Graves was head of the Department of Magical Law Enforcement within the Magical Congress of the United States. In 1926, Graves was impersonated by Gellert Grindelwald."
[330]string LocKey = "collection_items_swoopingevil_name"
string LocValue = "Swooping Evil"
[331]string LocKey = "collection_items_swoopingevil_return_location"
string LocValue = "Newt Scamander's Suitcase"
[332]string LocKey = "collection_items_swoopingevil_description"
string LocValue = "Swooping Evils are large flying magical creatures, and practice a form of encephalophagy - they are known to feed off of brains. It is recommended that only skilled magizoologists handle Swooping Evils."
[333]string LocKey = "collection_items_thestral_name"
string LocValue = "Thestral"
[334]string LocKey = "collection_items_thestral_return_location"
string LocValue = "The Forbidden Forest"
[335]string LocKey = "collection_items_thestral_description"
string LocValue = "Thestrals are gaunt, ghostly winged horses with leathery bat-like wings and reptilian facial features, invisible to all except those who have witnessed death. Excellent mounts, they can travel at incredible speed and cover vast distances."
[336]string LocKey = "collection_items_shrunkenhead_name"
string LocValue = "Shrunken Head"
[337]string LocKey = "collection_items_shrunkenhead_return_location"
string LocValue = "The Knight Bus"
[338]string LocKey = "collection_items_shrunkenhead_description"
string LocValue = "A talking shrunken head that hangs from the rear-view mirror of the Knight Bus"
[339]string LocKey = "collection_items_hag_name"
string LocValue = "Hag"
[340]string LocKey = "collection_items_hag_return_location"
string LocValue = "Russia"
[341]string LocKey = "collection_items_hag_description"
string LocValue = "Hags are beings that feast on children and appear as very old, ugly witches. Possessing very rudimentary magic, hags have appeared in Muggle fairy tales as a wholly stereotypical and unenlightened depiction of a “witch”."
[342]string LocKey = "collection_items_flesheatingslugs_name"
string LocValue = "Flesh-Eating Slugs"
[343]string LocKey = "collection_items_flesheatingslugs_return_location"
string LocValue = "Hogwarts Cabbage Patch"
[344]string LocKey = "collection_items_flesheatingslugs_description"
string LocValue = "Flesh-Eating Slugs are a breed of magical garden slugs, commonly found in Great Britain. Their mucus has a corrosive effect on the skin, and it is recommended to use a specialized repellent to deal with these pests."
[345]string LocKey = "collection_items_wantedposter_name"
string LocValue = "Wanted Poster of an Azkaban Escapee"
[346]string LocKey = "collection_items_wantedposter_return_location"
string LocValue = "Hogsmeade Village"
[347]string LocKey = "collection_items_wantedposter_description"
string LocValue = "Relentlessly guarded by Dementors, Azkaban is a fortress prison for witches and wizards. The Dementors feed on every happy thought, leaving prisoners nothing more than an empty shell, devoid of hope, rendering escape nearly impossible."
[348]string LocKey = "collection_items_handofglory_name"
string LocValue = "Hand of Glory"
[349]string LocKey = "collection_items_handofglory_return_location"
string LocValue = "Malfoy Manor"
[350]string LocKey = "collection_items_handofglory_description"
string LocValue = "Best friend of thieves and plunderers, a Hand of Glory is a shriveled up hand that gives light only to the one who holds it, even in complete darkness."
[351]string LocKey = "collection_items_book_name"
string LocValue = "Magick Moste Evile"
[352]string LocKey = "collection_items_book_return_location"
string LocValue = "Hogwarts Library Restricted Section"
[353]string LocKey = "collection_items_book_description"
string LocValue = "Magick Moste Evile was written by Godelot, one-time owner of the Elder Wand. Despite being a detailed exploration of the Dark Arts, it has no relevant information regarding Horcruxes. It will, however, emit a ghostly wail when slammed shut."
[354]string LocKey = "collection_items_rubeushagrid_name"
string LocValue = "Rubeus Hagrid"
[355]string LocKey = "collection_items_rubeushagrid_return_location"
string LocValue = "Hogwarts Grounds"
[356]string LocKey = "collection_items_rubeushagrid_description"
string LocValue = "Half-giant, gamekeeper, and Professor of Care of Magical Creatures, Rubeus Hagrid has an affinity for tea, gardening, and magical creatures (especially of the extremely dangerous variety). He is rarely seen without his faithful boarhound, Fang, by his side."
[357]string LocKey = "collection_items_firenze_name"
string LocValue = "Firenze"
[358]string LocKey = "collection_items_firenze_return_location"
string LocValue = "The Forbidden Forest"
[359]string LocKey = "collection_items_firenze_description"
string LocValue = "Firenze is a Centaur who lives within the Forbidden Forest. He briefly broke with Centaur tradition and taught Divination at Hogwarts School of Witchcraft and Wizardry before eventually returning to his colony following the Battle of Hogwarts."
[360]string LocKey = "collection_items_norwegianridgeback_name"
string LocValue = "Baby Norwegian Ridgeback"
[361]string LocKey = "collection_items_norwegianridgeback_return_location"
string LocValue = "Romanian Dragon Sanctuary"
[362]string LocKey = "collection_items_norwegianridgeback_description"
string LocValue = "A native of Norway, this dragon is notable for its venomous fangs and distinctive ridge along its back."
[363]string LocKey = "collection_items_monsterbookofmonsters_name"
string LocValue = "Monster Book of Monsters"
[364]string LocKey = "collection_items_monsterbookofmonsters_return_location"
string LocValue = "Flourish and Blotts"
[365]string LocKey = "collection_items_monsterbookofmonsters_description"
string LocValue = "The Monster Book of Monsters is an incredibly vicious fanged textbook used by Rubeus Hagrid when he taught Care of Magical Creatures. Opening the book requires that the user tame it by gently stroking its spine."
[366]string LocKey = "collection_items_unicorn_name"
string LocValue = "Unicorn"
[367]string LocKey = "collection_items_unicorn_return_location"
string LocValue = "Estonia"
[368]string LocKey = "collection_items_unicorn_description"
string LocValue = "The Unicorn is a magical white horse featuring a single horn upon its head. They possess magical properties: Unicorn Hair used in wands cores tend to produce the most consistent magic while Unicorn Blood is said to lengthen one's lifespan."
[369]string LocKey = "collection_items_dragonegg_name"
string LocValue = "Dragon Egg"
[370]string LocKey = "collection_items_dragonegg_return_location"
string LocValue = "Romanian Dragon Sanctuary"
[371]string LocKey = "collection_items_dragonegg_description"
string LocValue = "Dragon mothers are extremely protective of their eggs, breathing fire on them to keep them warm and incubate their young. Dragon Eggs are classified as Class A Non-Tradeable Material."
[372]string LocKey = "collection_items_blastendedskrewt_name"
string LocValue = "Blast-Ended Skrewt"
[373]string LocKey = "collection_items_blastendedskrewt_return_location"
string LocValue = "Hogwarts Grounds"
[374]string LocKey = "collection_items_blastendedskrewt_description"
string LocValue = "Blast-Ended Skrewts, controversially bred by Rubeus Hagrid, are a cross between Manticores and Fire Crabs. Aggressive and ill-tempered, male Blast-Ended Skrewts have stingers, while the females have suckers in order to suck blood."
[375]string LocKey = "collection_items_flobberworm_name"
string LocValue = "Flobberworm"
[376]string LocKey = "collection_items_flobberworm_return_location"
string LocValue = "Slug and Jiggers Apothecary"
[377]string LocKey = "collection_items_flobberworm_description"
string LocValue = "Large, toothless brown worms, Flobberworms have the Beast Classification of X, the lowest classification on record, known simply as “boring”."
[378]string LocKey = "collection_items_kneazle_name"
string LocValue = "Kneazle"
[379]string LocKey = "collection_items_kneazle_return_location"
string LocValue = "Magical Menagerie"
[380]string LocKey = "collection_items_kneazle_description"
string LocValue = "An excellent pet for any witch or wizard, Kneazles are magical felines with a high intelligence and the ability to detect suspicious people. They are often bred with normal housecats, as purebred Kneazles require a special license to own."
[381]string LocKey = "collection_items_acromantulaeggs_name"
string LocValue = "Acromantula Eggs"
[382]string LocKey = "collection_items_acromantulaeggs_return_location"
string LocValue = "Island of Borneo"
[383]string LocKey = "collection_items_acromantulaeggs_description"
string LocValue = "Acromantula Eggs are Class A Non-Tradeable Goods. Females can lay up to one hundred eggs at a time, and the eggs are roughly the size of beach balls."
[384]string LocKey = "collection_items_hermionegranger_name"
string LocValue = "Hermione Granger"
[385]string LocKey = "collection_items_hermionegranger_return_location"
string LocValue = "Hogwarts Library"
[386]string LocKey = "collection_items_hermionegranger_description"
string LocValue = "Top in her year in almost every class, Hermione is a bright young witch who is a champion of House Elf rights and an indispensable member of Dumbledore's Army."
[387]string LocKey = "collection_items_theveil_name"
string LocValue = "The Veil"
[388]string LocKey = "collection_items_theveil_return_location"
string LocValue = "Ministry of Magic Department of Mysteries"
[389]string LocKey = "collection_items_theveil_description"
string LocValue = "A portal between the world of the living and the dead, the Veil resides within the Death Chamber inside the Ministry of Magic's secretive Department of Mysteries. Once one crosses the threshold into the Veil, there is no return."
[390]string LocKey = "collection_items_tankofbrains_name"
string LocValue = "Tank of Brains"
[391]string LocKey = "collection_items_tankofbrains_return_location"
string LocValue = "Ministry of Magic Department of Mysteries"
[392]string LocKey = "collection_items_tankofbrains_description"
string LocValue = "The Tank of Brains is located within the Department of Mysteries at the British Ministry of Magic. When disturbed, the brains within the tank are capable of emitting dangerous tendrils of thought which are powerful enough to suffocate a human."
[393]string LocKey = "collection_items_nyphadoratonks_name"
string LocValue = "Nymphadora Tonks"
[394]string LocKey = "collection_items_nyphadoratonks_return_location"
string LocValue = "Ministry of Magic Auror Headquarters, 1995"
[395]string LocKey = "collection_items_nyphadoratonks_description"
string LocValue = "A skilled but clumsy Auror, Nymphadora Tonks was known for being a Metamorphmagus - having the ability to change some of her physical features at will. Tonks was tragically killed at the Battle of Hogwarts alongside her husband, Remus Lupin."
[396]string LocKey = "collection_items_alastairmoody_name"
string LocValue = "Mad-Eye Moody"
[397]string LocKey = "collection_items_alastairmoody_return_location"
string LocValue = "Ministry of Magic Auror Headquarters, 1995"
[398]string LocKey = "collection_items_alastairmoody_description"
string LocValue = "One of the greatest Aurors to ever live, Alastor “Mad-Eye” Moody was responsible for apprehending a considerable number of Dark Wizards at great cost to himself - losing a leg, a part of his nose and (most famously) an eye in the process."
[399]string LocKey = "collection_items_interdepartmentalmemos_name"
string LocValue = "Flock of Interdepartmental Memos"
[400]string LocKey = "collection_items_interdepartmentalmemos_return_location"
string LocValue = "British Ministry of Magic Atrium"
[401]string LocKey = "collection_items_interdepartmentalmemos_description"
string LocValue = "Communication across all department of the British Ministry of Magic is facilitated by Interdepartmental Memos: pruple self-propelled paper aeroplanes. The previous communication solution - owls - were replaced after realizing the mess made from their droppings."
[402]string LocKey = "collection_items_kingsleyshacklebolt_name"
string LocValue = "Kingsley Shacklebolt"
[403]string LocKey = "collection_items_kingsleyshacklebolt_return_location"
string LocValue = "Ministry of Magic Auror Headquarters"
[404]string LocKey = "collection_items_kingsleyshacklebolt_description"
string LocValue = "Kingsley Shacklebolt joined the Order of the Phoenix and became a critical ally of Harry Potter's during the Second Wizarding War. He eventually became Minister for Magic, working to rid the Ministry of discrimination and corruption."
[405]string LocKey = "collection_items_arthurweasley_name"
string LocValue = "Arthur Weasley"
[406]string LocKey = "collection_items_arthurweasley_return_location"
string LocValue = "Misuse of Muggle Artefacts Office, 1992"
[407]string LocKey = "collection_items_arthurweasley_description"
string LocValue = "The head of the Weasley household, Arthur Weasley has an immense fascination with Muggles and how they manage their daily lives without magic. During the Second Wizarding War, Arthur joined the Order of the Phoenix and fought at the Battle of Hogwarts."
[408]string LocKey = "collection_items_goblin_name"
string LocValue = "Bogrod"
[409]string LocKey = "collection_items_goblin_return_location"
string LocValue = "Gringotts Bank"
[410]string LocKey = "collection_items_goblin_description"
string LocValue = "Goblins are proud magical beings that are known for their work with metals, particularly silver. They believe that an object's true owner is the one who makes it, not who purchases it. Gringotts Wizarding Bank is run by Goblins."
[411]string LocKey = "collection_items_dailyprophetstand_name"
string LocValue = "Daily Prophet Stand"
[412]string LocKey = "collection_items_dailyprophetstand_return_location"
string LocValue = "British Ministry of Magic Atrium"
[413]string LocKey = "collection_items_dailyprophetstand_description"
string LocValue = "The Daily Prophet is the only official wizarding news outlet in Britain, and its two editions are delivered daily to witches and wizards via owl. Closely linked to the British Ministry of Magic, some claim the paper shows an occasional bias."
[414]string LocKey = "collection_items_ministryintern_name"
string LocValue = "Ministry Administrator"
[415]string LocKey = "collection_items_ministryintern_return_location"
string LocValue = "Ministry of Magic Portkey Office"
[416]string LocKey = "collection_items_ministryintern_description"
string LocValue = "The Ministry of Magic has hundreds of employees in varying capacities, but an overarching priority for every member is the enforcement of the Statute of Secrecy. Signed in 1692, the statute has successfully kept the magical and Muggle worlds separate."
[417]string LocKey = "collection_items_prophecyorb_name"
string LocValue = "Prophecy Record"
[418]string LocKey = "collection_items_prophecyorb_return_location"
string LocValue = "Ministry of Magic Department of Mysteries, 1996"
[419]string LocKey = "collection_items_prophecyorb_description"
string LocValue = "These orbs are a means of keeping a record of prophecies made by Seers, kept within the Department of Mysteries at the Ministry of Magic. An orb can only be found and collected by the person who is the subject of the prophecy itself."
[420]string LocKey = "collection_items_harrypotter_name"
string LocValue = "Quidditch Captain Harry Potter"
[421]string LocKey = "collection_items_harrypotter_return_location"
string LocValue = "Hogwarts Quidditch Pitch, 1996"
[422]string LocKey = "collection_items_harrypotter_description"
string LocValue = "Quidditch prodigy Harry Potter was discovered whilst breaking the rules during flying class. The first year Seeker eventually grew to become Captain of the Gryffindor Quidditch team by his sixth year at Hogwarts."
[423]string LocKey = "collection_items_gobletoffire_name"
string LocValue = "Goblet of Fire"
[424]string LocKey = "collection_items_gobletoffire_return_location"
string LocValue = "Department of Magical Games and Sports"
[425]string LocKey = "collection_items_gobletoffire_description"
string LocValue = "The Goblet of Fire is used to select champions representing each of the three wizarding schools that participate in the dangerous Triwizard Tournament. Once chosen, champions are magically bound to compete in the tournament, and cannot withdraw."
[426]string LocKey = "collection_items_ronweasley_name"
string LocValue = "Quidditch Keeper Ron"
[427]string LocKey = "collection_items_ronweasley_return_location"
string LocValue = "Hogwarts Quidditch Pitch, 1995"
[428]string LocKey = "collection_items_ronweasley_description"
string LocValue = "Long-shot Ron Weasley was appointed Keppe of Gryffindor's Quidditch team after an uneven tryout during his fifth year at Hogwarts. He eventually overcame his limitations and helped them win the Quidditch Cup that same year."
[429]string LocKey = "collection_items_explodingsnap_name"
string LocValue = "House of Exploding Snap Cards"
[430]string LocKey = "collection_items_explodingsnap_return_location"
string LocValue = "Hufflepuff Common Room"
[431]string LocKey = "collection_items_explodingsnap_description"
string LocValue = "Exploding Snap is a popular card game where the cards periodically explode in the players' hands. The game can be played solo or in groups and is mildly dangerous. It features alternative rulesets such as a Bavarian Rules variant."
[432]string LocKey = "collection_items_bludger_name"
string LocValue = "Bludger"
[433]string LocKey = "collection_items_bludger_return_location"
string LocValue = "Quality Quidditch Supplies"
[434]string LocKey = "collection_items_bludger_description"
string LocValue = "Bludgers are 10 inch iron balls that magically fly about a Quidditch pitch, knocking players from their brooms. Two Beaters - players equipped with iron bats - spend the match protecting their Teammates by knocking bludgers away."
[435]string LocKey = "collection_items_quidditchworldcup_name"
string LocValue = "Quidditch World Cup"
[436]string LocKey = "collection_items_quidditchworldcup_return_location"
string LocValue = "International Confederation of Wizards' Quidditch Committee"
[437]string LocKey = "collection_items_quidditchworldcup_description"
string LocValue = "Since 1473 the Quidditch World Cup has been the wizarding world's premier international sporting event. Held every four years, national teams from across the globe battle for the prestigious title of world champions."
[438]string LocKey = "collection_items_beatersbat_name"
string LocValue = "Beater's Bat"
[439]string LocKey = "collection_items_beatersbat_return_location"
string LocValue = "Quality Quidditch Supplies"
[440]string LocKey = "collection_items_beatersbat_description"
string LocValue = "In Quidditch, Beaters use these magically reinforced bats to redirect the animated iron Bludgers away from their fellow Teammates and (preferably) towards the rival team. Bludgers were once made of rock, but their tendency to shatter inspired a redesign."
[441]string LocKey = "collection_items_magicalmegaphone_name"
string LocValue = "Magical Megaphone"
[442]string LocKey = "collection_items_magicalmegaphone_return_location"
string LocValue = "Department of Magical Games and Sports"
[443]string LocKey = "collection_items_magicalmegaphone_description"
string LocValue = "Similar to a Muggle megaphone, this megaphone is enchanted to amplify sound even further than its Muggle counterpart. Magical Megaphones can fill large areas with sound and are a favoured method of amplification at wizarding sporting events."
[444]string LocKey = "collection_items_quaffle_name"
string LocValue = "Quaffle"
[445]string LocKey = "collection_items_quaffle_return_location"
string LocValue = "Puddlemere United"
[446]string LocKey = "collection_items_quaffle_description"
string LocValue = "Quaffles are 12 inch, red, oddly-shaped leather balls that are thrown through large hoops in order to score points in Quidditch. Each time a Quaffle is thrown through a hoop, the throwing team scores 10 points."
[447]string LocKey = "collection_items_quidditchplayer_name"
string LocValue = "Chudley Cannons Player"
[448]string LocKey = "collection_items_quidditchplayer_return_location"
string LocValue = "Chudley, England"
[449]string LocKey = "collection_items_quidditchplayer_description"
string LocValue = "A Chaser for the Chudley Cannons Quidditch team, whose disappearance meant missing some much-needed practice."
[450]string LocKey = "collection_items_whompingwillow_name"
string LocValue = "Whomping Willow"
[451]string LocKey = "collection_items_whompingwillow_return_location"
string LocValue = "Hogwarts Grounds"
[452]string LocKey = "collection_items_whompingwillow_description"
string LocValue = "The Whomping Willow is a particularly violent tree planted on the grounds of Hogwarts. Its limbs attack anything that crosses its path, and it was planted right over a secret passage to the Shrieking Shack in Hogsmeade."
[453]string LocKey = "collection_items_grawp_name"
string LocValue = "Grawp"
[454]string LocKey = "collection_items_grawp_return_location"
string LocValue = "The Forbidden Forest"
[455]string LocKey = "collection_items_grawp_description"
